source§link§author§title§theme§year§content
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Système des beaux-arts, livre 1, chapitre VII.§imagination|art§§Dans l'imagination errante tout est promesse, par des émotions sans mesure ; aussi il se peut bien que le sculpteur sans expérience souhaite quelque matière plastique qui change aussi vite que ses propres inspirations. Mais quand il souhaiterait seulement quelque aide du diable, par laquelle le marbre serait taillé aussitôt selon le désir, il se tromperait encore sur sa véritable puissance. Si le pouvoir d'exécuter n'allait pas beaucoup plus loin que le pouvoir de penser ou de rêver, il n'y aurait point d'artistes... Sans doute un des mouvements les plus naturels de l'artiste est d'ajouter un peu à la nature et de finir cette ébauche ; c'est donner à un fantôme la forme d'un objets. Et c'est ce que peuvent remarquer ceux qui sculptent des cannes ; ils cherchent dans les formes de la racine quelque tête d'animal à peine ébauchée ; mais celui qui est habile marche ici prudemment ; chaque parcelle de bois enlevée détermine un peu plus la forme et conduit à un nouvel essai. Ainsi l'artiste observateur décide par l'action inspirée, afin de percevoir quelque chose. En sorte que son modèle c'est d'abord l'objet et ensuite l'oeuvre. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.Bordeaux, série B, juin 1988.§conscience|doute|temps§1988§Dans le sommeil, je suis tout ; mais je n'en sais rien. La conscience suppose réflexion, division. La conscience n'est pas immédiate. Je pense, et puis je pense que je pense, par quoi je distingue Sujet et Objet, Moi et le monde. Moi et ma sensation. Moi et mon sentiment. Moi et mon idée. C'est bien le pouvoir de douter qui est la vie du moi. Par ce mouvement, tous les instants tombent au passé. Si l'on se retrouvait tout entier, c'est alors qu'on ne se reconnaîtrait pas. Le passé est insuffisant, dépassé. Je ne suis plus cet enfant, cet ignorant, ce naïf. ce moment-là même j'étais autre chose en espérance en avenir. La conscience de soi est la conscience d'un devenir et d'une formation de soi irréversible, irréparable. Ce que je voulais, je le suis devenu. Voilà le lien entre le passé et le présent, pour le mal comme pour le bien. Ainsi le moi est un refus d'être moi, qui en même temps conserve les moments dépassés. Se souvenir, c'est sauver ses souvenirs, c'est se témoigner qu'on les a dépassés. c'est les juger. Le passé, ce sont des expérience que je ne ferai plus. Un artiste reconnaît dans ses oeuvres qu'il ne s'était pas encore trouvé lui-même, qu'il ne s'était pas encore délivré ; mais il y retrouve un pressentiment de ce qui a suivi. C'est cet élan qui ordonne les souvenirs selon le temps.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.§conscience|amour§§(...) Tout amour est de quelque chose que l'on n'a pas en soi. Aimer, c'est trouver sa richesse hors de soi, je dis sa richesse intime, non sa parure ; et comme c'est de soi qu'on aime, ce n'est pas soi qu'on peut aimer. On aime l'image de soi que se font les autres, en ce sens que cette image, si elle est aimable, rend la société agréable et sûre. Mais cette image n'est point moi ; aucun objet, aucune chose n'est moi. (...) Là-dessus aucune parure ne tient. Ce que je fais, cela seul est de moi ; mais en moi il n'en reste rien ; compter sur l'habitude et sur le talent c'est compter sur les autres ; il ne reste en moi que le courage ; mais encore faut-il le faire et le porter ; dès qu'il est objet, dès qu'on voudrait l'aimer, il n'est plus. Si le souvenir console un peu, il est une charge aussi, s'il est beau. J'ai pensé souvent à ce musicien qui, après quelques oeuvres de grande beauté, ne trouva plus rien de bon ; sans doute mit-il tout son génie à se condamner ; il mourut fou. Peut-être est-il sage de prendre un peu de vanité, mais sans s'y donner, comme on prend le soleil à sa porte.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.Série F12, sujet national, juin 1991.§natureculture|instruction§1991§(...) Il ne faut pas orienter l'instruction d'après les signes d'une vocation. D'abord parce que les préférences peuvent tromper. Et aussi parce qu'il est toujours bon de s'instruire de ce qu'on n'aime pas savoir. Donc contrariez les goûts, d'abord et longtemps.		Celui-là n'aime que les sciences ; qu'il travaille donc l'histoire, le droit, les belles-lettres ; il en a besoin plus qu'un autre. Et au contraire, le poète, je le pousse aux mathématiques et aux tâches manuelles. Car tout homme doit être pris premièrement comme un génie universel ; ou alors il ne faut même pas parler d'instruction, parlons d'apprentissage. Et je suis sûr que le rappel, même rude, à la vocation universelle de juger, de gouverner et d'inventer est toujours le meilleur tonique pour un caractère.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.§conscience|ame|corps§§L'âme c'est ce qui refuse le corps. Par exemple ce qui refuse de fuir quand le corps tremble, ce qui refuse de frapper quand le corps s'irrite, ce qui refuse de boire quand le corps a soif, ce qui refuse de prendre quand le corps désire, ce qui refuse d'abandonner quand le corps a horreur. Ces refus sont des faits de l'homme. Le total refus est la sainteté ; l'examen avant de suivre est la sagesse ; et cette force de refus c'est l'âme. Le fou n'a aucune force de refus ; il n'a plus d'âme. On dit aussi qu'il n'a plus conscience et c'est vrai. Qui cède absolument à son corps soit pour frapper, soit pour fuir, soit seulement pour parler, ne sait plus ce qu'il fait ni ce qu'il dit. On ne prend conscience que par opposition de soi à soi. Exemple : Alexandre à la traversée d'un désert reçoit un casque plein d'eau ; il remercie, et le verse par terre devant toute l'arme. Magnanimité ; âme, c'est-à-dire grande âme. Il n'y a point d'âme vile ; mais seulement on manque d'âme. Ce beau mot ne désigne nullement un être, mais toujours une action.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.§natureculture|education§§L'enfant vit dans un monde de miracles, et par une continuelle incantation. Il demande, il prie, il persuade ; c'est ainsi qu'il obtient ; tel est son travail propre ; voilà comment il gagne sa vie. Il le faut bien. L'enfant ne peut pas vivre de son travail ; il ne conquiert pas sur les choses ; il ne fait que jouer avec les choses. En revanche il prend au sérieux les hommes, et même trop ; d'eux toute sûreté et toute nourriture. Il s'agit de leur plaire ; mériter c'est plaire. On dit très bien que nos réelles idées nous viennent de notre propre expérience ; mais on ne considère pas assez que nos premières expériences sont de trompeuses expériences. Il n'est pas vrai que la tâche de l'homme soit de demander et d'obtenir. Ce qu'on obtient par grâce, ce qui circule de l'un à l'autre, serait comme néant si le travail s'arrêtait seulement un jour. La condition réelle de l'existence humaine est une lutte continuelle contre les choses et contre les bêtes. C'est une chasse, une culture, une construction, un transport à grand-peine, travaux qu'il faut toujours recommencer, parce que l'homme consomme et use, et parce que la nature vient toujours à l'assaut.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.§art|langage|apparence§§Le miracle de la peinture, c'est que ce feu de société, ce reflet d'opinions et de jugements, chose par excellence mobile et décevante, fait un objet durable et désormais immobile. Cette âme, par exemple la Joconde, ou la Vierge du Mariage, cette âme est à saisir ; elle ne se dérobe point ; mais aussi elle ne se divise point ; elle ne s'explique pas, mais elle s'offre. Ce qui au monde est le moins objet est devenu objet ; on le possède en une apparence immuable et suffisante ; c'est à nous, par une sympathie qui ne troublera pas cette image, par une sympathie qui peut hésiter, se tromper, revenir, c'est à nous de comprendre ce langage sans paroles. Cette confidence est sans fin, et éveille en nous un développement parallèle, sans paroles aussi ; non pas une suite d'instants, mais une suite de moments où toute une vie, passé, présent, avenir, est rassemblée. D'où cette contemplation véhémente dont je parlais. C'est le propre de l'apparence qu'elle exprime tout, et qu'elle suffit ; mais seule la peinture fixe l'apparence ; et seule la grande peinture choisit justement l'apparence à laquelle nous avions voulu nous arrêter. C'est ainsi que le vrai peintre, par refus de penser, c'est-à-dire de définir, et par choisir seulement les moments en écartant les instants, a préparé son précieux objet pour une contemplation sans fin.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.§langage|pensee|sens§§La langue est un instrument à penser. Les esprits que nous appelons paresseux, somnolents, inertes, sots, vraisemblablement surtout incultes, et en ce sens qu'ils n'ont qu'un petit nombre de mots et d'expressions ; et c'est un trait de vulgarité bien frappant que l'emploi d'un mot tout fait. Cette pauvreté est encore bien riche, comme tes bavardages et les querelles te font voir ; toutefois ta précipitation du débit et le retour des mêmes mots montrent bien que ce mécanisme n'est nullement dominé. L'expression  prend alors tout son sens. On observera ce bavardage dans tous les genres d'ivresse et de délire. Et je ne crois même point qu'il arrive à l'homme de déraisonner par d'autres causes ; l'emportement dans le discours fait de la folie avec des lieux communs. Aussi est-il vrai que le premier éclair de pensée, en tout homme et en tout enfant, est de trouver un sens ce qu'il dit. Si étrange que cela soit, nous sommes dominés par la nécessité de parler sans savoir ce que nous allons dire ; et cet état sibyllin est originaire en chacun ; l'enfant parle naturellement avant de penser, et il est compris des autres bien avant qu'il se comprenne lui-même. Penser, c'est donc parler à soi.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.§justice|jugement|droit§§La force semble être l'injustice même ; mais on parlerait mieux en disant que la force est étrangère à la justice ; car on ne dit pas qu'un loup est injuste. Toutefois le loup raisonneur de la fable (1)  est injuste, car il veut être approuvé ; ici se montre l'injustice, qui serait donc une prétention d'esprit. Le loup voudrait que le mouton n'ait rien à répondre ou tout au moins qu'un arbitre permette ; et l'arbitre, c'est le loup lui-même. Ici les mots nous avertissent assez ; il est clair que la justice relève du jugement, et que le succès n'y fait rien. Plaider, c'est argumenter. Rendre justice, c'est juger. Peser des raisons, non des forces. La première justice est donc une investigation d'esprit et un examen des raisons. Le parti pris est par lui-même injustice ; et même celui qui se trouve favorisé, et qui de plus croit avoir raison, ne croira jamais qu'on lui a rendu bonne justice à lui tant qu'on n'a pas fait justice à l'autre, en examinant aussi ses raisons de bonne foi ; de bonne foi, j'entends en leur cherchant toute la force possible, ce que l'institution des avocats réalise passablement.(1)  Allusion à la fable de La Fontaine  le loup et l'agneau  dans laquelle le loup, non seulement veut manger l'agneau mais le persuader qu'il est dans son bon droit en le dévorant.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.Série F, G, H, juin 1988, Amiens.§science|technique§1988§L'ouvrier adhère à l'expérience ; il ne perd jamais le contact ; mais le théoricien aussi, à sa manière ; et le technicien se trouve placé entre ces deux extrêmes. Palissy (1) , autant qu'on sait, était un ouvrier : c'est qu'il invente sans chercher, et peut-être en refusant de chercher. Guidé par la chose, par l'invariable outil, par la tradition, il ne se fie jamais à ce qui est nouveau ; il invente par des changements imperceptibles à lui-même. La pirogue, la voile, l'arc, le moulin à vent, l'agriculture, la cuisine, l'art de dresser et d'élever les animaux, sont dus à cette pratique serrée et prudente, pendant une immense durée, de maître en apprenti, et, plus anciennement de père en fils. L'art du luthier (2)  est un de ceux où l'on peut admirer un lent progrès par pure imitation. La technique s'y met présentement, et l'on tente de produire des sons de violoncelle sans violoncelle. A l'autre extrême, un Helmholtz (3)  analyse les timbres, et nous apprend de quels sons harmoniques se composent les voyelles. Tous suivent l'expérience, et interrogent la chose. Le premier suit les procédés connus ; le second invente des procédés ; le troisième cherche à comprendre, c'est-à-dire à débrouiller ses propres idées.(1) Bernard Palissy (1510-1590) : célèbre potier qui rechercha le secret des  faïences émaillées.(2) Luthier : fabricant d'instruments de musique à cordes.(3) Helmholtz : physicien allemand (1821-1894) qui a publié, entre autres, une  théorie mathématique des sons.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Texte donné au baccalauréat.§verite|prejuge|passions§§Préjugé. Ce qui est jugé d'avance, c'est-à-dire avant qu'on se soit instruit. Le préjugé fait qu'on s'instruit mal. Le préjugé peut venir des passions ; la haine aime à préjuger mal ; il peut venir de l'orgueil, qui conseille de ne point changer d'avis ; ou bien de la coutume qui ramène toujours aux anciennes formules ; ou bien de la paresse, qui n'aime point chercher ni examiner. Mais le principal appui du préjugé est l'idée juste d'après laquelle il n'est point de vérité qui subsiste sans serment à soi ; d'où l'on vient à considérer toute opinion nouvelle comme une manoeuvre contre l'esprit. Le préjugé ainsi appuyé sur de nobles passions, c'est le fanatisme.
