Document_Index§Dominant_Topic§Topic_Perc_Contrib§Keywords
0§22.0§0.31619998812675476§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
1§0.0§0.44679999351501465§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
2§22.0§0.4916999936103821§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
3§0.0§0.265500009059906§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
4§22.0§0.44690001010894775§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
5§22.0§0.5414000153541565§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
6§22.0§0.2705000042915344§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
7§3.0§0.6462000012397766§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
8§3.0§0.2782999873161316§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
9§3.0§0.4957999885082245§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
10§22.0§0.27390000224113464§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
11§22.0§0.5974000096321106§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
12§22.0§0.2540999948978424§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
13§22.0§0.31470000743865967§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
14§9.0§0.3702999949455261§temps, corps, ame, perception, laisser, entendement, corp, moindre, grandeur, douleur
15§3.0§0.4975999891757965§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
16§3.0§0.2870999872684479§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
17§0.0§0.42649999260902405§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
18§0.0§0.487199991941452§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
19§3.0§0.45339998602867126§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
20§3.0§0.5145999789237976§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
21§22.0§0.3379000127315521§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
22§22.0§0.4406999945640564§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
23§0.0§0.2985999882221222§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
24§0.0§0.2757999897003174§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
25§22.0§0.26440000534057617§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
26§0.0§0.6176000237464905§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
27§22.0§0.2540000081062317§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
28§22.0§0.2948000133037567§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
29§22.0§0.2705000042915344§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
30§22.0§0.5738000273704529§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
31§15.0§0.39089998602867126§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
32§22.0§0.21660000085830688§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
33§3.0§0.2745000123977661§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
34§22.0§0.680400013923645§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
35§22.0§0.2565999925136566§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
36§3.0§0.5946000218391418§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
37§9.0§0.2750999927520752§temps, corps, ame, perception, laisser, entendement, corp, moindre, grandeur, douleur
38§0.0§0.38199999928474426§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
39§3.0§0.5239999890327454§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
40§0.0§0.5145000219345093§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
41§0.0§0.3345000147819519§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
42§3.0§0.5091999769210815§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
43§22.0§0.3357999920845032§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
44§0.0§0.30090001225471497§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
45§22.0§0.44859999418258667§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
46§22.0§0.27869999408721924§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
47§0.0§0.30550000071525574§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
48§3.0§0.2712000012397766§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
49§0.0§0.28519999980926514§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
50§14.0§0.3370000123977661§objet, art, image, concept, representation, beau, oeuvre, partir, imagination, couleur
51§0.0§0.5659999847412109§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
52§0.0§0.3343000113964081§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
53§0.0§0.5394999980926514§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
54§22.0§0.685699999332428§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
55§22.0§0.4767000079154968§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
56§3.0§0.41519999504089355§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
57§22.0§0.746999979019165§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
58§0.0§0.37630000710487366§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
59§15.0§0.37630000710487366§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
60§3.0§0.5473999977111816§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
61§0.0§0.26330000162124634§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
62§15.0§0.5997999906539917§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
63§15.0§0.6718000173568726§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
64§15.0§0.47679999470710754§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
65§15.0§0.7113999724388123§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
66§0.0§0.3564000129699707§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
67§15.0§0.38960000872612§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
68§4.0§0.29600000381469727§science, connaissance, philosophie, experience, scientifique, sensation, phenomene, intellectuel, sagess, observation
69§22.0§0.33399999141693115§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
70§3.0§0.6183000206947327§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
71§22.0§0.2443999946117401§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
72§22.0§0.28130000829696655§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
73§22.0§0.28189998865127563§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
74§0.0§0.4072999954223633§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
75§22.0§0.29190000891685486§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
76§3.0§0.2363000065088272§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
77§22.0§0.3443000018596649§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
78§22.0§0.35019999742507935§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
79§3.0§0.19599999487400055§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
80§22.0§0.35350000858306885§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
81§3.0§0.390500009059906§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
82§15.0§0.3544999957084656§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
83§15.0§0.21289999783039093§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
84§15.0§0.7407000064849854§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
85§15.0§0.512499988079071§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
86§15.0§0.6532999873161316§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
87§15.0§0.4683000147342682§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
88§22.0§0.46869999170303345§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
89§15.0§0.6850000023841858§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
